SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,PSPAverageMBAResult,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,DSP_MBAResultPS_NG,DomoicAcid,ActionRequired
BTX/2011/2454,West Mersea,B013U,Colchester BC,TM03091222,Mersea Flats,2011-08-18,2011-08-19,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2455,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2011-08-18,2011-08-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2475,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-08-21,2011-08-23,Mussels,ND,,,,,,,,
BTX/2011/2476,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-08-21,2011-08-23,Mussels,ND,,,,,,,,
BTX/2011/2477,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-08-21,2011-08-23,Mussels,ND,,,,,,,,
BTX/2011/2478,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2011-08-22,2011-08-23,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2479,Liverpool Bay - Wirral,B058P,Mersey PHA,SJ26119334,Leasowe North,2011-08-22,2011-08-23,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2504,St. Austell Bay ,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2011-08-23,2011-08-24,Mussels,,,,65,<RL,<RL,,,
BTX/2011/2505,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-08-23,2011-08-24,Mussels,Detected,<RL,,,,,,,
BTX/2011/2506,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-08-23,2011-08-24,Mussels,Detected,704,,,,,,,
BTX/2011/2507,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-08-23,2011-08-24,Pacific Oysters,Detected,,ND,,,,,,
BTX/2011/2508,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-08-23,2011-08-24,Native Oysters,Detected,,ND,,,,,,
BTX/2011/2509,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-08-23,2011-08-24,Mussels,Detected,848,,,,,,,Additional flesh and water samples required
BTX/2011/2532,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-08-24,2011-08-25,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2580,St. Austell Bay ,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2011-08-30,2011-08-31,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2581,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-08-30,2011-08-31,Mussels,Detected,309,,,,,,,
BTX/2011/2582,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-08-30,2011-08-31,Mussels,Detected,448,,,,,,,
BTX/2011/2583,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-08-30,2011-08-31,Native Oysters,Detected,<RL,,,,,,,
BTX/2011/2584,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-08-30,2011-08-31,Pacific Oysters,Detected,<RL,,,,,,,
BTX/2011/2585,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-08-29,2011-08-31,Mussels,ND,,,,,,,,
BTX/2011/2586,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-08-30,2011-08-31,Mussels,ND,,,,,,,,
BTX/2011/2587,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-08-30,2011-08-31,Mussels,ND,,,586,<RL,<RL,,<LOQ,Additional flesh and water samples requested
BTX/2011/2612,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-08-31,2011-09-01,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2613,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-08-31,2011-09-01,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2614,Blakeney,B006R,North Norfolk DC,TF91814545,Wells ? The Pool,2011-08-31,2011-09-01,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2615,Dee,B045X,Flintshire CC,SJ12778573,Mostyn Deep,2011-08-31,2011-09-01,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2616,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-08-31,2011-09-01,Pacific Oysters,ND,,,,,,,,
BTX/2011/2641,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-09-05,2011-09-06,Mussels,,,,1539,<RL,<RL,,,Additional flesh and water samples requested
BTX/2011/2642,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-09-04,2011-09-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2643,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-09-04,2011-09-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2644,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-09-04,2011-09-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2645,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2011-09-05,2011-09-06,Surf Clams,ND,,,,,,NG,<LOQ,
BTX/2011/2669,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-09-06,2011-09-07,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2670,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2011-09-05,2011-09-07,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2671,Deben,B010K,Suffolk Coastal DC,TM29864377,Girlings Hard North,2011-09-06,2011-09-07,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2687,Menai Strait East,B055D,Gwynedd CC,SH57587302,Bangor,2011-09-07,2011-09-08,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2688,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2011-09-07,2011-09-08,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2689,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2011-09-07,2011-09-08,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2692,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2011-09-08,2011-09-09,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2703,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-09-12,2011-09-13,Mussels,,,,254,<RL,<RL,,,Additional flesh and water samples requested
BTX/2011/2704,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-09-12,2011-09-13,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2705,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-09-12,2011-09-13,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2706,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-09-12,2011-09-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2707,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2011-09-12,2011-09-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2708,Dovey,B041M,Gwynedd CC,SN61429590,Aberdyfi - West,2011-09-12,2011-09-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2709,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2011-09-12,2011-09-13,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2710,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-09-12,2011-09-13,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2711,The Wash,B003L,Boston BC,TF47604700,Wrangle,2011-09-12,2011-09-13,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2712,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2011-09-11,2011-09-13,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2741,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-09-13,2011-09-14,Mussels,Detected,<RL,,,,,,,
BTX/2011/2742,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-09-13,2011-09-14,Mussels,Detected,265,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2743,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-09-13,2011-09-14,Native Oysters,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2744,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2011-09-12,2011-09-14,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2745,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-09-13,2011-09-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2746,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2011-09-13,2011-09-14,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2747,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2011-09-12,2011-09-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2748,The Wash,B004O,Kings Lynn & W Norfolk BC,TF65803700,Heacham South,2011-09-13,2011-09-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2749,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2011-09-13,2011-09-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2761,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-09-14,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2762,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2011-09-14,2011-09-15,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2763,Camel,B035X,Cornwall CC,SW93428533 ,Porthilly Cove,2011-09-14,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2764,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-09-14,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2765,Silloth,B059L,Allerdale DC,NY10055345,Lees Scar,2011-09-14,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2766,The Wash,B003D,Boston BC,TF44403720,Maretail,2011-09-14,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2767,Exe,B026E,Teignbridge DC,SX97808090,Pool,2011-09-14,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2768,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-09-14,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2769,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2011-09-15,2011-09-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2770,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-09-15,2011-09-15,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2782,Dee,B045X,Flintshire CC,SJ12778573,Mostyn Deep,2011-09-15,2011-09-16,Mussels,,,,<RL,<RL,<RL,,,
BTX/2011/2783,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2011-09-15,2011-09-16,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2784,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2011-09-15,2011-09-16,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2810,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-09-19,2011-09-20,Mussels,,,,412,<RL,<RL,,,Additional flesh and water samples requested
BTX/2011/2811,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-09-19,2011-09-20,Mussels,,,,<RL,<RL,<RL,,,
BTX/2011/2812,St. Austell Bay ,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2011-09-19,2011-09-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2813,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-09-18,2011-09-20,Mussels,ND,,,,,,,,
BTX/2011/2814,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-09-18,2011-09-20,Mussels,ND,,,,,,,,
BTX/2011/2815,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-09-18,2011-09-20,Mussels,ND,,,,,,,,
BTX/2011/2816,West Mersea,B013U,Colchester BC,TM03021211,Mersea Flats,2011-09-19,2011-09-20,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2839,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-09-20,2011-09-21,Mussels,Detected,<RL,,,,,,,
BTX/2011/2840,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-09-20,2011-09-21,Mussels,Detected,230,,,,,,,
BTX/2011/2841,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-09-20,2011-09-21,Native Oysters,ND,,,,,,,,
BTX/2011/2842,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-09-20,2011-09-21,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2843,St. Ives Bay,B088G,Cornwall PHA,SW54323928,St. Ives Central,2011-09-20,2011-09-21,Razors,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2844,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2011-09-20,2011-09-21,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2845,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2011-09-20,2011-09-21,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2860,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2011-09-21,2011-09-22,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2861,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2011-09-21,2011-09-22,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2862,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2011-09-21,2011-09-22,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2863,Dee,B045M,Wirral BC,SJ20708550,West Kirby - Tells Tower,2011-09-21,2011-09-22,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2867,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2011-09-21,2011-09-23,Mussels,Unsuitable - frozen,,,,,,,Unsuitable - frozen,Additional flesh sample requested
BTX/2011/2876,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2011-09-26,2011-09-27,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2877,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-09-26,2011-09-27,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2878,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2011-09-26,2011-09-27,Pacific Oysters,ND,,,,,,,,
BTX/2011/2879,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-09-26,2011-09-27,Mussels,,,,466,<RL,<RL,,,Additional flesh and water samples requested
BTX/2011/2901,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-09-27,2011-09-28,Mussels,Detected,<RL,,,,,,,
BTX/2011/2902,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2011-09-27,2011-09-28,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2903,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-09-27,2011-09-28,Mussels,Detected,<RL,,,,,,,
BTX/2011/2905,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-09-27,2011-09-28,Native Oysters,Detected,<RL,,<RL,<RL,<RL,,,
BTX/2011/2906,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-09-27,2011-09-28,Pacific Oysters,ND,,,,,,,,
BTX/2011/2907,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2011-09-27,2011-09-28,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2908,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2011-09-27,2011-09-28,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2937,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-09-28,2011-09-29,Mussels,ND,,,,,,,,
BTX/2011/2938,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-09-28,2011-09-29,Mussels,ND,,,,,,,,
BTX/2011/2939,Dart,B028F,South Hams DC,SX87415599,Waddeton,2011-09-28,2011-09-29,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2940,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-09-28,2011-09-29,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2945,Ravenglass,B053D,Copeland DC,SD08139555,Ravenglass,2011-09-29,2011-09-30,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2946,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2011-09-29,2011-09-30,Mussels,ND,,,,,,,,
BTX/2011/2947,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2011-09-29,2011-09-30,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2948,Liverpool Bay - Wirral,B058P,Mersey PHA,SJ26119334,Leasowe North,2011-09-29,2011-10-03,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2949,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2011-10-03,2011-10-03,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2970,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-10-03,2011-10-04,Mussels,,,,305,<RL,<RL,,,Additional flesh and water samples required
BTX/2011/2971,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2011-10-03,2011-10-04,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2972,Portsmouth Harbour,B020E,Portsmouth PHA,SU60520339,Post 50,2011-10-03,2011-10-04,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2973,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2011-10-03,2011-10-04,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2974,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2011-10-03,2011-10-04,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2975,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2011-10-03,2011-10-04,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2976,Southampton Water,B021U,Southampton PHA,SU44640845,Near Netley Castle,2011-10-03,2011-10-04,Manila Clams,ND,,,,,,NG,<LOQ,
BTX/2011/2977,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2011-10-03,2011-10-04,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2998,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-10-04,2011-10-05,Native Oysters,ND,,,,,,,,
BTX/2011/2999,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-10-04,2011-10-05,Mussels,ND,,,,,,,,
BTX/2011/3000,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2011-10-04,2011-10-05,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3001,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2011-10-04,2011-10-05,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3002,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2011-10-04,2011-10-05,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3015,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2011-10-04,2011-10-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3016,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2011-10-04,2011-10-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3017,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2011-10-05,2011-10-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3018,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2011-10-05,2011-10-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3043,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-10-10,2011-10-11,Mussels,,,,115,<RL,<RL,,,
BTX/2011/3044,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3045,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2011-10-10,2011-10-11,Cockles,ND,,,<RL,<RL,<RL,,1.2,
BTX/2011/3046,Dovey,B041M,Gwynedd CC,SN61429590,Aberdyfi - West,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3047,Camel,B035X,Cornwall CC,SW93428533 ,Porthilly Cove,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3048,Blakeney,B006R,North Norfolk DC,TF91814545,Wells ? The Pool,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3049,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3050,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3051,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3052,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3053,Exe,B026E,Teignbridge DC,SX97808090,Pool,2011-10-10,2011-10-11,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3054,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2011-10-10,2011-10-11,Pacific Oysters,ND,,,<RL,<RL,<RL,,1.3,
BTX/2011/3055,Deben,B010E,Suffolk Coastal DC,TM29864377,Girlings Hard North,2011-10-10,2011-10-11,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3056,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-10-11,2011-10-11,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3084,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-10-11,2011-10-12,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3085,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-10-11,2011-10-12,Mussels,ND,,,,,,,,
BTX/2011/3086,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-10-11,2011-10-12,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3087,The Wash,B003L,Boston BC,TF47604700,Wrangle,2011-10-11,2011-10-12,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3088,The Wash,B004O,Kings Lynn & W Norfolk BC,TF65803700,Heacham South,2011-10-11,2011-10-12,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3102,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-10-12,2011-10-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3103,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-10-12,2011-10-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3104,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-10-12,2011-10-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3105,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2011-10-11,2011-10-13,Mussels,ND,,,,,,,,
BTX/2011/3106,Silloth,B059L,Allerdale DC,NY10055345,Lees Scar,2011-10-12,2011-10-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3107,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2011-10-12,2011-10-13,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3108,The Solent,B024K,Isle of Wight Council,SZ41709270,Newtown River mouth West - Outer,2011-10-12,2011-10-13,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3109,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2011-10-12,2011-10-13,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3110,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2011-10-12,2011-10-13,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3111,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2011-10-12,2011-10-13,Surf Clams,ND,,,,,,NG,<LOQ,
BTX/2011/3117,Walton Backwaters,B011R,Tendring DC ,TM22142478,Kirby Creek,2011-10-13,2011-10-14,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3118,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2011-10-13,2011-10-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/3135,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-10-17,2011-10-18,Mussels,ND,,,122,<RL,<RL,,<LOQ,
BTX/2011/3136,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-10-17,2011-10-18,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
